id, TFT, TEC, level, cd
0,6266.000000,9566.000000,692992,inf
1,4592.898926,13949.337891,0,0.479323
2,3662.666992,14427.746094,660592,0.088412
3,4725.715332,14481.284180,0,0.443632
4,4365.386719,14717.177734,1,0.033303
5,4229.374023,14720.234375,0,0.026863
6,4366.392578,14732.227539,0,0.010600
7,4616.102539,14737.194336,0,0.051009
8,3276.387207,14920.287109,503296,0.022612
9,4214.200684,14928.460938,0,0.015695
10,4447.326172,14932.654297,0,0.029678
11,4401.119141,14964.384766,0,0.024718
12,4016.259521,14978.699219,0,0.053547
13,4315.014160,15053.212891,0,0.042597
14,4505.406250,15184.485352,0,0.055337
15,3311.889893,15253.189453,1,0.024043
16,4150.665039,15290.039062,0,0.045857
17,3924.168701,15323.970703,538736,0.042302
18,3264.360596,15398.046875,0,0.023975
19,4322.374023,15501.251953,0,0.024975
20,3195.808594,15530.007812,481752,0.035328
21,3339.966309,15554.481445,0,0.017204
22,3661.315186,15562.320312,667248,0.086228
23,3971.326172,15681.868164,512336,0.035668
24,4171.785645,15695.951172,587360,0.021768
25,3283.579102,15743.465820,0,0.017175
26,3815.813965,15784.347656,0,0.051491
27,3368.123535,15805.935547,552368,0.091813
28,3246.632812,15898.965820,633392,0.037148
29,3126.338135,16019.546875,0,0.298481
30,3843.553711,16696.101562,13,0.428227
31,2307.142822,20337.292969,702960,inf
