id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/566/2-4-20__0.txt,nsga2-v3,0,5,1000.000000,5,2434.296631,0.038668,0.023773,0.839712
../instances/566/2-4-20__0.txt,nsga2-nd,0,5,547.599976,5,5675.979492,0.115272,0.039632,0.801004
../instances/566/2-4-20__0.txt,nsga3-v3,0,5,1000.000000,5,2913.801270,0.030794,0.026822,0.867105
../instances/566/2-4-20__0.txt,nsga3-nd,0,5,765.400024,5,6912.817871,0.157920,0.059221,0.996578
../instances/566/2-4-60__0.txt,nsga2-v3,0,5,1000.000000,4,2279.196289,0.021702,0.009708,0.711332
../instances/566/2-4-60__0.txt,nsga2-nd,0,5,103.400002,5,678.749573,0.004550,0.002821,0.503699
../instances/566/2-4-60__0.txt,nsga3-v3,0,5,1000.000000,5,3091.984619,0.025029,0.011140,0.965986
../instances/566/2-4-60__0.txt,nsga3-nd,0,5,116.800003,5,5419.147949,0.003173,0.020374,0.963200
../instances/566/2-4-100__0.txt,nsga2-v3,0,5,1000.000000,5,5010.239258,0.022931,0.010846,0.793641
../instances/566/2-4-100__0.txt,nsga2-nd,0,5,41.400002,5,2198.290771,0.008747,0.004507,0.448890
../instances/566/2-4-100__0.txt,nsga3-v3,0,5,1000.000000,4,7122.167969,0.025156,0.012433,1.003780
../instances/566/2-4-100__0.txt,nsga3-nd,0,5,48.599998,5,6623.998535,0.008193,0.010443,0.935630
../instances/566/2-8-20__0.txt,nsga2-v3,0,5,1000.000000,5,2471.086670,0.118099,0.027446,0.877685
../instances/566/2-8-20__0.txt,nsga2-nd,0,5,325.799988,5,3380.846924,0.266489,0.038990,0.761792
../instances/566/2-8-20__0.txt,nsga3-v3,0,5,1000.000000,5,2623.251953,0.167534,0.030148,0.911898
../instances/566/2-8-20__0.txt,nsga3-nd,0,5,559.599976,5,4723.542969,0.346569,0.063690,1.064618
../instances/566/2-8-60__0.txt,nsga2-v3,0,5,1000.000000,5,9672.548828,0.032006,0.022934,1.122657
../instances/566/2-8-60__0.txt,nsga2-nd,0,5,72.599998,5,835.351196,0.005100,0.002215,0.486381
../instances/566/2-8-60__0.txt,nsga3-v3,0,5,1000.000000,5,9428.223633,0.032476,0.021790,1.256530
../instances/566/2-8-60__0.txt,nsga3-nd,0,5,94.400002,5,5354.023438,0.009541,0.015919,0.955175
../instances/566/2-8-100__0.txt,nsga2-v3,0,5,1000.000000,5,17542.054688,0.031354,0.022293,1.114156
../instances/566/2-8-100__0.txt,nsga2-nd,0,5,43.799999,5,3731.144531,0.006627,0.007361,0.619026
../instances/566/2-8-100__0.txt,nsga3-v3,0,5,1000.000000,5,18302.826172,0.032642,0.023300,1.209056
../instances/566/2-8-100__0.txt,nsga3-nd,0,5,52.000000,5,12256.240234,0.009528,0.018575,0.944459
../instances/566/2-16-20__0.txt,nsga2-v3,0,5,994.799988,5,5025.024414,0.241689,0.043772,1.004913
../instances/566/2-16-20__0.txt,nsga2-nd,0,5,193.600006,5,994.982117,0.242558,0.012380,0.790296
../instances/566/2-16-20__0.txt,nsga3-v3,0,5,994.400024,5,5872.004883,0.288562,0.053099,1.089799
../instances/566/2-16-20__0.txt,nsga3-nd,0,5,361.399994,5,3566.114502,0.318666,0.046878,1.027500
../instances/566/2-16-60__0.txt,nsga2-v3,0,5,795.599976,5,19510.162109,0.031687,0.026558,1.200467
../instances/566/2-16-60__0.txt,nsga2-nd,0,5,58.599998,5,1683.330688,0.002169,0.003027,0.515966
../instances/566/2-16-60__0.txt,nsga3-v3,0,5,918.000000,5,19817.408203,0.032791,0.026616,1.323900
../instances/566/2-16-60__0.txt,nsga3-nd,0,5,63.200001,4,4897.682617,0.002846,0.010013,0.943742
../instances/566/2-16-100__0.txt,nsga2-v3,0,5,772.000000,4,42620.464844,0.032025,0.029234,1.176671
../instances/566/2-16-100__0.txt,nsga2-nd,0,5,26.200001,5,3810.117188,0.002612,0.004128,0.512984
../instances/566/2-16-100__0.txt,nsga3-v3,0,5,881.400024,5,42983.476562,0.033161,0.029530,1.314749
../instances/566/2-16-100__0.txt,nsga3-nd,0,5,29.400000,5,12653.509766,0.003103,0.012147,1.118350
